                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0674,                 1.0368,                 1.2847,                0.52045,                0.36861,                0.43271,                 0.2241,                 1.4523,                 1.8897,                 1.2185,             0.00064171,             0.00064171,             0.00064171
                     35,                  1.072,                 1.0099,                 1.2801,                0.68216,                0.41868,                0.45869,                 0.2352,                 1.4504,                 1.9478,                 1.2162,             0.00062705,             0.00062705,             0.00062705
                     36,                 1.0745,                  1.016,                 1.2935,                    0.6,                0.41556,                0.41785,                0.22915,                 1.4605,                 1.7471,                  1.225,             0.00061238,             0.00061238,             0.00061238
                     37,                  1.055,                 0.9957,                 1.2941,                0.59065,                0.36905,                0.38289,                0.21752,                 1.4658,                 1.8293,                 1.2343,             0.00059772,             0.00059772,             0.00059772
                     38,                 1.0384,                0.99956,                 1.2791,                0.45352,                0.44509,                0.43528,                0.23279,                 1.4539,                 1.7354,                 1.2175,             0.00058305,             0.00058305,             0.00058305
                     39,                 1.0396,                0.99277,                 1.2749,                 0.6972,                0.37149,                0.45245,                0.24827,                 1.4391,                 1.9805,                 1.2148,             0.00056839,             0.00056839,             0.00056839
                     40,                 1.0457,                0.98678,                 1.2732,                0.67149,                0.39534,                 0.4288,                0.22473,                 1.4554,                 1.7655,                 1.2312,             0.00055372,             0.00055372,             0.00055372
                     41,                 1.0284,                0.97052,                 1.2594,                0.45941,                0.46621,                0.47669,                0.24149,                 1.4249,                 1.8406,                 1.2151,             0.00053906,             0.00053906,             0.00053906
                     42,                 1.0287,                0.96467,                 1.2549,                 0.4742,                0.50537,                0.46456,                0.24722,                 1.4322,                 1.6633,                 1.2238,             0.00052439,             0.00052439,             0.00052439
                     43,                 1.0306,                0.95878,                  1.264,                0.47863,                0.44568,                0.45034,                0.24584,                 1.4191,                 2.0672,                 1.2031,             0.00050973,             0.00050973,             0.00050973
                     44,                0.99811,                0.92973,                 1.2471,                0.71492,                0.41367,                0.47338,                0.25359,                 1.4296,                  1.704,                 1.2091,             0.00049506,             0.00049506,             0.00049506
                     45,                 1.0082,                0.93181,                 1.2438,                0.77459,                0.41027,                0.49477,                0.26709,                 1.4279,                 1.7682,                  1.209,              0.0004804,              0.0004804,              0.0004804
                     46,                 0.9918,                0.91955,                 1.2434,                0.59217,                0.44058,                0.49138,                0.27357,                 1.4047,                 1.9671,                 1.2033,             0.00046573,             0.00046573,             0.00046573
                     47,                 1.0124,                0.93148,                 1.2538,                0.69778,                0.43684,                0.49229,                0.26003,                  1.412,                 1.8921,                 1.2006,             0.00045107,             0.00045107,             0.00045107
                     48,                 1.0016,                0.92601,                 1.2382,                0.62577,                0.46758,                0.49248,                0.26197,                 1.4022,                 1.5511,                 1.1849,              0.0004364,              0.0004364,              0.0004364
                     49,                 1.0037,                0.91533,                 1.2395,                0.50225,                 0.5067,                0.48124,                0.25557,                 1.4203,                  1.879,                 1.2025,             0.00042174,             0.00042174,             0.00042174
                     50,                 1.0216,                0.91244,                 1.2443,                0.72589,                0.43015,                0.49405,                0.26671,                  1.409,                 1.9507,                 1.1896,             0.00040707,             0.00040707,             0.00040707
                     51,                0.99113,                0.88247,                 1.2316,                0.71436,                0.43257,                0.47685,                0.26191,                 1.4038,                  1.638,                 1.1888,             0.00039241,             0.00039241,             0.00039241
                     52,                0.98962,                0.88199,                 1.2256,                0.67624,                0.47643,                0.52184,                0.28004,                 1.3965,                 1.4835,                 1.1808,             0.00037774,             0.00037774,             0.00037774
                     53,                0.97167,                0.86704,                 1.2192,                0.59419,                0.44556,                0.49596,                0.26559,                 1.3942,                 1.5813,                 1.1737,             0.00036307,             0.00036307,             0.00036307
                     54,                0.97857,                0.86381,                 1.2245,                0.61011,                0.50726,                0.50085,                0.26699,                 1.4073,                 1.7159,                 1.1893,             0.00034841,             0.00034841,             0.00034841
                     55,                0.96067,                0.84736,                 1.2109,                0.69645,                0.46319,                0.51637,                0.28351,                 1.3877,                 1.7038,                  1.179,             0.00033374,             0.00033374,             0.00033374
                     56,                0.95127,                0.82525,                 1.2064,                0.70431,                0.40858,                0.52266,                0.27415,                    1.4,                 1.5985,                 1.1899,             0.00031908,             0.00031908,             0.00031908
                     57,                0.94151,                0.82591,                 1.1966,                0.57829,                0.51316,                0.51854,                0.28004,                 1.4035,                 1.4249,                 1.1771,             0.00030441,             0.00030441,             0.00030441
                     58,                 0.9459,                0.81314,                 1.1956,                0.59247,                0.48192,                0.52211,                0.27586,                 1.4077,                 1.7528,                 1.1848,             0.00028975,             0.00028975,             0.00028975
                     59,                0.95288,                0.81204,                 1.2021,                0.64409,                0.47631,                0.52367,                0.29141,                  1.401,                  1.667,                 1.1865,             0.00027508,             0.00027508,             0.00027508
                     60,                0.93638,                0.80502,                 1.1897,                0.62754,                0.44844,                0.50822,                0.27953,                  1.407,                 1.5516,                 1.1841,             0.00026042,             0.00026042,             0.00026042
                     61,                0.92735,                0.79393,                  1.188,                0.58719,                0.45985,                0.49634,                0.26848,                 1.3953,                 1.4986,                 1.1707,             0.00024575,             0.00024575,             0.00024575
                     62,                0.94195,                0.78881,                 1.1893,                0.55058,                0.50627,                 0.4965,                0.27445,                  1.392,                  1.561,                 1.1686,             0.00023109,             0.00023109,             0.00023109
                     63,                0.93844,                0.78584,                 1.1929,                0.70302,                0.46784,                0.51443,                0.27967,                 1.3733,                 1.3739,                 1.1619,             0.00021642,             0.00021642,             0.00021642
                     64,                0.92554,                0.78114,                 1.1794,                0.63236,                0.47734,                0.52828,                0.30092,                 1.3856,                 1.3544,                  1.165,             0.00020176,             0.00020176,             0.00020176
                     65,                0.92345,                0.78706,                 1.1869,                0.60662,                0.49768,                0.52107,                0.28498,                 1.3743,                 1.4473,                 1.1663,             0.00018709,             0.00018709,             0.00018709
                     66,                 1.0205,                0.78768,                 1.1448,                0.61919,                0.48498,                0.52728,                0.28981,                 1.3691,                 1.4549,                 1.1716,             0.00017243,             0.00017243,             0.00017243
                     67,                0.99222,                0.75691,                 1.1297,                0.61211,                0.49962,                0.53685,                0.29335,                 1.3729,                 1.3249,                 1.1659,             0.00015776,             0.00015776,             0.00015776
                     68,                0.99425,                0.74158,                 1.1404,                  0.644,                0.45999,                0.52983,                0.29712,                 1.3853,                 1.3212,                 1.1678,              0.0001431,              0.0001431,              0.0001431
                     69,                0.95948,                0.71067,                 1.1291,                0.53992,                 0.5726,                0.50977,                0.28293,                 1.3714,                 1.2672,                 1.1634,             0.00012843,             0.00012843,             0.00012843
                     70,                0.96952,                0.71565,                 1.1145,                0.60492,                0.48325,                0.51246,                0.28179,                 1.3695,                 1.3181,                 1.1618,             0.00011377,             0.00011377,             0.00011377
                     71,                0.97448,                0.71235,                 1.1149,                0.52999,                 0.5299,                0.52204,                0.28571,                 1.3706,                  1.263,                 1.1629,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     72,                0.94869,                0.68563,                 1.1042,                0.59101,                0.51351,                0.52661,                0.28316,                  1.373,                 1.2815,                 1.1641,             8.4436e-05,             8.4436e-05,             8.4436e-05
                     73,                0.94488,                0.68476,                 1.0996,                0.57902,                 0.5124,                0.51893,                 0.2808,                  1.368,                 1.2551,                 1.1669,             6.9771e-05,             6.9771e-05,             6.9771e-05
                     74,                 0.9478,                0.68543,                 1.1118,                 0.5834,                 0.4931,                0.52104,                0.27961,                 1.3716,                 1.2806,                 1.1643,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     75,                0.94585,                0.67368,                  1.097,                0.69104,                0.45788,                0.52268,                0.28238,                 1.3661,                 1.2388,                 1.1624,              4.044e-05,              4.044e-05,              4.044e-05
